id,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
3,2015-01-02,shot,gun,53,M,A,Shelton,WA,True,attack,0,False
4,2015-01-02,shot,gun,47,M,W,Aloha,OR,False,attack,0,False
5,2015-01-03,shot and Tasered,unarmed,23,M,H,Wichita,KS,False,other,0,False
8,2015-01-04,shot,toy weapon,32,M,W,San Francisco,CA,True,attack,0,False
9,2015-01-04,shot,nail gun,39,M,H,Evans,CO,False,attack,0,False
11,2015-01-04,shot,gun,18,M,W,Guthrie,OK,False,attack,0,False
13,2015-01-05,shot,gun,22,M,H,Chandler,AZ,False,attack,1,False
15,2015-01-06,shot,gun,35,M,W,Assaria,KS,False,attack,0,False
16,2015-01-06,shot,unarmed,34,F,W,Burlington,IA,False,other,0,True
17,2015-01-06,shot,toy weapon,47,M,B,Knoxville,PA,False,attack,0,False
19,2015-01-06,shot and Tasered,knife,25,M,W,Stockton,CA,False,attack,0,False
21,2015-01-07,shot,gun,31,M,B,Freeport,TX,False,attack,0,False
22,2015-01-07,shot,knife,41,M,B,Columbus,OH,True,other,0,False
25,2015-01-07,shot,gun,30,M,W,Des Moines,IA,False,attack,1,False
27,2015-01-07,shot,gun,37,M,B,New Orleans,LA,False,attack,1,True
32,2015-01-08,shot,shovel,42,M,W,Salt Lake City,UT,False,attack,0,True
36,2015-01-08,shot,unarmed,36,M,B,Strong,AR,False,attack,0,False
37,2015-01-08,shot,gun,49,M,W,Syracuse,UT,False,attack,0,True
38,2015-01-09,shot,gun,71,M,W,England,AR,False,attack,0,False
325,2015-01-09,shot,gun,33,M,H,El Paso,TX,False,attack,0,False
42,2015-01-11,shot,gun,39,M,W,Arcola,IL,True,attack,0,False
43,2015-01-11,shot,gun,23,M,H,South Gate,CA,False,attack,0,False
45,2015-01-11,shot and Tasered,gun,29,M,H,North Las Vegas,NV,False,attack,1,False
46,2015-01-13,shot,gun,34,M,W,Albuquerque,NM,False,attack,1,True
48,2015-01-13,shot,knife,43,M,W,Jourdanton,TX,True,other,0,False
51,2015-01-14,shot,gun,34,M,B,Chesapeake,VA,True,attack,0,False
52,2015-01-14,shot,knife,75,M,W,Old Bridge,NJ,False,attack,0,False
54,2015-01-14,shot,gun,68,M,W,Lake Jackson,TX,False,attack,0,False
55,2015-01-14,shot,knife,34,M,W,Draper,UT,False,attack,0,True
56,2015-01-15,shot,gun,27,M,B,Indianapolis,IN,False,attack,1,False
57,2015-01-15,shot,gun,39,M,B,Aurora,CO,False,attack,0,False
60,2015-01-15,shot,gun,24,M,W,Bloomington,MN,True,attack,0,False
63,2015-01-15,shot,knife,36,M,H,Fairfield,CA,True,other,0,False
64,2015-01-15,shot,gun,33,M,W,Evangeline Parish,LA,False,attack,0,False
67,2015-01-16,shot,gun,41,M,W,Mabank,TX,False,attack,1,False
68,2015-01-16,shot and Tasered,knife,48,M,O,Fremont,CA,False,other,0,False
74,2015-01-17,shot,gun,21,M,B,Muskogee,OK,False,attack,1,True
75,2015-01-17,shot,gun,24,M,H,Los Angeles,CA,False,attack,0,False
78,2015-01-17,shot,knife,27,M,H,Fort Worth,TX,False,attack,0,False
80,2015-01-18,shot,gun,32,M,W,Maricopa,AZ,True,attack,0,False
83,2015-01-18,shot and Tasered,gun,67,M,W,Gunlock,KY,True,attack,0,False
84,2015-01-19,shot,knife,49,M,W,Weymouth,MA,False,attack,0,False
86,2015-01-21,shot,gun,36,M,W,Hemet,CA,False,attack,0,False
88,2015-01-21,shot,gun,36,M,H,Chapeno,TX,False,attack,1,False
90,2015-01-21,shot,gun,19,M,B,St. Louis,MO,False,attack,0,False
98,2015-01-21,shot,gun,54,M,W,Derry,NH,True,attack,0,False
99,2015-01-22,shot,toy weapon,25,M,B,Sierra Blanca,TX,False,attack,1,False
100,2015-01-22,shot and Tasered,knife,17,F,W,Longview,TX,True,other,0,False
102,2015-01-23,shot,knife,56,M,H,Levelland,TX,False,other,0,False
336,2015-01-23,shot,gun,61,M,W,Austin,TX,True,attack,0,False
105,2015-01-24,shot,gun,45,M,W,Rexburg,ID,False,attack,0,False
107,2015-01-24,shot,knife,26,M,B,Baltimore,MD,True,other,0,False
341,2015-01-24,shot,gun,40,M,W,Fort Worth,TX,False,attack,0,False
108,2015-01-25,shot,gun,26,M,H,Pueblo,CO,False,attack,1,False
110,2015-01-25,shot,gun,59,M,O,Winslow,NJ,False,attack,0,False
20,2015-01-26,shot,vehicle,17,F,H,Denver,CO,False,other,0,False
324,2015-01-26,shot,gun,68,M,W,New Hope,MN,True,attack,0,False
352,2015-01-26,shot,unarmed,24,M,H,Tahoka,TX,False,other,1,False
353,2015-01-26,shot,knife,34,M,H,Wasco,CA,True,other,0,False
111,2015-01-27,shot,knife,39,F,W,Omaha,NE,True,attack,0,False
349,2015-01-27,shot,gun,29,M,W,Morenci,AZ,False,attack,0,False
350,2015-01-27,shot,gun,33,M,B,Columbus,OH,False,attack,0,False
345,2015-01-28,shot,gun,45,M,W,Sunset,TX,False,attack,0,False
347,2015-01-28,shot,gun,26,M,W,Rosenberg,TX,False,attack,0,False
346,2015-01-28,shot and Tasered,hammer,35,M,A,Stockton,CA,True,attack,0,False
112,2015-01-29,shot,gun,31,M,W,Wyoming,MI,True,attack,0,False
342,2015-01-29,shot,unarmed,42,M,W,Stillwater,OK,False,other,1,False
113,2015-01-30,shot,gun,48,M,W,Billings,MT,False,attack,1,False
338,2015-01-31,shot,gun,31,M,H,Houston,TX,False,attack,0,False
339,2015-01-31,shot and Tasered,knife,54,M,B,Randallstown,MD,True,other,0,False
115,2015-02-02,shot,gun,42,M,W,Apple Valley,CA,True,attack,0,False
528,2015-02-02,shot,gun,17,M,W,Bay City,MI,False,attack,0,False
114,2015-02-02,shot and Tasered,unarmed,59,M,W,Hummelstown,PA,False,other,1,False
117,2015-02-03,shot,gun,23,M,B,St. Louis,MO,False,attack,1,False
118,2015-02-03,shot,gun,38,F,B,Emeryville,CA,False,attack,1,False
119,2015-02-03,shot,knife,29,M,B,Antioch,CA,True,other,0,False
120,2015-02-03,shot,gun,45,M,W,Douglas,GA,True,attack,0,False
116,2015-02-04,shot,unarmed,28,M,B,Tallahassee,FL,False,attack,0,False
123,2015-02-04,shot,gun,37,M,H,Orlando,FL,False,attack,0,False
124,2015-02-04,shot,gun,28,M,H,Tempe,AZ,False,attack,1,False
125,2015-02-04,shot,unarmed,28,M,H,Tempe,AZ,False,other,0,False
126,2015-02-04,shot,gun,51,M,B,Lorena,TX,False,attack,1,False
127,2015-02-04,shot,knife,36,M,B,Memphis,TN,False,other,0,False
128,2015-02-05,shot,toy weapon,59,M,W,Chino,CA,False,other,1,False
129,2015-02-06,shot,gun,25,M,B,Oklahoma City,OK,False,attack,0,False
532,2015-02-07,shot,toy weapon,26,M,W,Calimesa,CA,False,attack,0,False
554,2015-02-07,shot,gun,74,M,B,Gastonia,NC,False,attack,0,False
131,2015-02-08,shot,gun,33,M,W,Anchorage,AK,False,attack,1,False
132,2015-02-08,shot,gun,27,M,W,Austin,TX,False,attack,0,False
