id,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
3,2015-01-02,shot,gun,53,M,A,Shelton,WA,,1,0,False
4,2015-01-02,shot,gun,47,M,W,Aloha,OR,,1,0,False
5,2015-01-03,shot and Tasered,unarmed,23,M,H,Wichita,KS,,2,0,False
8,2015-01-04,shot,toy weapon,32,M,W,San Francisco,CA,,1,0,False
9,2015-01-04,shot,nail gun,39,M,H,Evans,CO,,1,0,False
11,2015-01-04,shot,gun,18,M,W,Guthrie,OK,,1,0,False
13,2015-01-05,shot,gun,22,M,H,Chandler,AZ,,1,1,False
15,2015-01-06,shot,gun,35,M,W,Assaria,KS,,1,0,False
16,2015-01-06,shot,unarmed,34,F,W,Burlington,IA,,2,0,True
17,2015-01-06,shot,toy weapon,47,M,B,Knoxville,PA,,1,0,False
19,2015-01-06,shot and Tasered,knife,25,M,W,Stockton,CA,,1,0,False
21,2015-01-07,shot,gun,31,M,B,Freeport,TX,,1,0,False
22,2015-01-07,shot,knife,41,M,B,Columbus,OH,,2,0,False
25,2015-01-07,shot,gun,30,M,W,Des Moines,IA,,1,1,False
27,2015-01-07,shot,gun,37,M,B,New Orleans,LA,,1,1,True
32,2015-01-08,shot,shovel,42,M,W,Salt Lake City,UT,,1,0,True
36,2015-01-08,shot,unarmed,36,M,B,Strong,AR,,1,0,False
37,2015-01-08,shot,gun,49,M,W,Syracuse,UT,,1,0,True
38,2015-01-09,shot,gun,71,M,W,England,AR,,1,0,False
325,2015-01-09,shot,gun,33,M,H,El Paso,TX,,1,0,False
42,2015-01-11,shot,gun,39,M,W,Arcola,IL,,1,0,False
43,2015-01-11,shot,gun,23,M,H,South Gate,CA,,1,0,False
45,2015-01-11,shot and Tasered,gun,29,M,H,North Las Vegas,NV,,1,1,False
46,2015-01-13,shot,gun,34,M,W,Albuquerque,NM,,1,1,True
48,2015-01-13,shot,knife,43,M,W,Jourdanton,TX,,2,0,False
51,2015-01-14,shot,gun,34,M,B,Chesapeake,VA,,1,0,False
52,2015-01-14,shot,knife,75,M,W,Old Bridge,NJ,,1,0,False
54,2015-01-14,shot,gun,68,M,W,Lake Jackson,TX,,1,0,False
55,2015-01-14,shot,knife,34,M,W,Draper,UT,,1,0,True
56,2015-01-15,shot,gun,27,M,B,Indianapolis,IN,,1,1,False
57,2015-01-15,shot,gun,39,M,B,Aurora,CO,,1,0,False
60,2015-01-15,shot,gun,24,M,W,Bloomington,MN,,1,0,False
63,2015-01-15,shot,knife,36,M,H,Fairfield,CA,,2,0,False
64,2015-01-15,shot,gun,33,M,W,Evangeline Parish,LA,,1,0,False
67,2015-01-16,shot,gun,41,M,W,Mabank,TX,,1,1,False
68,2015-01-16,shot and Tasered,knife,48,M,O,Fremont,CA,,2,0,False
74,2015-01-17,shot,gun,21,M,B,Muskogee,OK,,1,1,True
75,2015-01-17,shot,gun,24,M,H,Los Angeles,CA,,1,0,False
78,2015-01-17,shot,knife,27,M,H,Fort Worth,TX,,1,0,False
80,2015-01-18,shot,gun,32,M,W,Maricopa,AZ,,1,0,False
83,2015-01-18,shot and Tasered,gun,67,M,W,Gunlock,KY,,1,0,False
84,2015-01-19,shot,knife,49,M,W,Weymouth,MA,,1,0,False
86,2015-01-21,shot,gun,36,M,W,Hemet,CA,,1,0,False
88,2015-01-21,shot,gun,36,M,H,Chapeno,TX,,1,1,False
90,2015-01-21,shot,gun,19,M,B,St. Louis,MO,,1,0,False
98,2015-01-21,shot,gun,54,M,W,Derry,NH,,1,0,False
99,2015-01-22,shot,toy weapon,25,M,B,Sierra Blanca,TX,,1,1,False
100,2015-01-22,shot and Tasered,knife,17,F,W,Longview,TX,,2,0,False
102,2015-01-23,shot,knife,56,M,H,Levelland,TX,,2,0,False
336,2015-01-23,shot,gun,61,M,W,Austin,TX,,1,0,False
105,2015-01-24,shot,gun,45,M,W,Rexburg,ID,,1,0,False
107,2015-01-24,shot,knife,26,M,B,Baltimore,MD,,2,0,False
341,2015-01-24,shot,gun,40,M,W,Fort Worth,TX,,1,0,False
108,2015-01-25,shot,gun,26,M,H,Pueblo,CO,,1,1,False
110,2015-01-25,shot,gun,59,M,O,Winslow,NJ,,1,0,False
20,2015-01-26,shot,vehicle,17,F,H,Denver,CO,,2,0,False
324,2015-01-26,shot,gun,68,M,W,New Hope,MN,,1,0,False
352,2015-01-26,shot,unarmed,24,M,H,Tahoka,TX,,2,1,False
353,2015-01-26,shot,knife,34,M,H,Wasco,CA,,2,0,False
111,2015-01-27,shot,knife,39,F,W,Omaha,NE,,1,0,False
349,2015-01-27,shot,gun,29,M,W,Morenci,AZ,,1,0,False
350,2015-01-27,shot,gun,33,M,B,Columbus,OH,,1,0,False
345,2015-01-28,shot,gun,45,M,W,Sunset,TX,,1,0,False
347,2015-01-28,shot,gun,26,M,W,Rosenberg,TX,,1,0,False
346,2015-01-28,shot and Tasered,hammer,35,M,A,Stockton,CA,,1,0,False
112,2015-01-29,shot,gun,31,M,W,Wyoming,MI,,1,0,False
342,2015-01-29,shot,unarmed,42,M,W,Stillwater,OK,,2,1,False
113,2015-01-30,shot,gun,48,M,W,Billings,MT,,1,1,False
338,2015-01-31,shot,gun,31,M,H,Houston,TX,,1,0,False
339,2015-01-31,shot and Tasered,knife,54,M,B,Randallstown,MD,,2,0,False
115,2015-02-02,shot,gun,42,M,W,Apple Valley,CA,,1,0,False
528,2015-02-02,shot,gun,17,M,W,Bay City,MI,,1,0,False
114,2015-02-02,shot and Tasered,unarmed,59,M,W,Hummelstown,PA,,2,1,False
117,2015-02-03,shot,gun,23,M,B,St. Louis,MO,,1,1,False
118,2015-02-03,shot,gun,38,F,B,Emeryville,CA,,1,1,False
119,2015-02-03,shot,knife,29,M,B,Antioch,CA,,2,0,False
120,2015-02-03,shot,gun,45,M,W,Douglas,GA,,1,0,False
116,2015-02-04,shot,unarmed,28,M,B,Tallahassee,FL,,1,0,False
123,2015-02-04,shot,gun,37,M,H,Orlando,FL,,1,0,False
124,2015-02-04,shot,gun,28,M,H,Tempe,AZ,,1,1,False
125,2015-02-04,shot,unarmed,28,M,H,Tempe,AZ,,2,0,False
126,2015-02-04,shot,gun,51,M,B,Lorena,TX,,1,1,False
127,2015-02-04,shot,knife,36,M,B,Memphis,TN,,2,0,False
128,2015-02-05,shot,toy weapon,59,M,W,Chino,CA,,2,1,False
129,2015-02-06,shot,gun,25,M,B,Oklahoma City,OK,,1,0,False
532,2015-02-07,shot,toy weapon,26,M,W,Calimesa,CA,,1,0,False
554,2015-02-07,shot,gun,74,M,B,Gastonia,NC,,1,0,False
131,2015-02-08,shot,gun,33,M,W,Anchorage,AK,,1,1,False
132,2015-02-08,shot,gun,27,M,W,Austin,TX,,1,0,False
133,2015-02-08,shot,gun,57,M,W,New City,NY,,1,0,False
134,2015-02-08,shot,gun,46,M,W,Orange County,FL,,1,0,False
135,2015-02-08,shot,gun,41,M,W,Nocona,TX,,1,0,False
136,2015-02-09,shot,gun,61,M,W,Smyrna,ME,,1,0,False
137,2015-02-09,shot,gun,45,M,B,Dallas,TX,,1,0,False
139,2015-02-10,shot,gun,49,M,B,Whitehaven,TN,,1,0,False
140,2015-02-10,shot,gun,45,M,W,New Castle,CO,,1,1,False
138,2015-02-10,shot and Tasered,unarmed,35,M,H,Pasco,WA,,2,1,False
141,2015-02-11,shot,knife,23,M,B,San Jose,CA,,2,0,False
142,2015-02-11,shot,toy weapon,46,M,W,Dadeville,AL,,1,1,True
146,2015-02-13,shot,gun,21,M,H,Kansas City,KS,,1,1,False
147,2015-02-13,shot,unarmed,35,M,H,Reading,PA,,2,0,False
148,2015-02-13,shot,gun,27,M,W,McLemoresville,TN,,1,0,False
154,2015-02-13,shot,knife,37,M,H,San Manuel,AZ,,2,0,False
149,2015-02-14,shot,gun,16,M,W,Essex,MD,,1,1,False
155,2015-02-14,shot,gun,51,M,W,Laredo,TX,,1,0,False
151,2015-02-15,shot,gun,34,M,W,Iuka,MS,,1,1,False
153,2015-02-15,shot,hatchet,34,M,W,Colton,OR,,2,0,False
150,2015-02-15,shot and Tasered,unarmed,25,M,B,Miami Gardens,FL,,2,0,False
156,2015-02-16,shot,gun,56,M,W,Marana,AZ,,1,0,False
157,2015-02-16,shot,gun,26,M,W,Boise,ID,,1,0,False
158,2015-02-16,shot,toy weapon,24,M,W,Provo,UT,,1,0,False
130,2015-02-17,shot,gun,43,F,W,Gaston County,NC,,1,0,False
159,2015-02-17,shot,unarmed,31,M,W,Springfield,MO,,2,1,False
160,2015-02-17,shot,gun,32,M,W,Eaton Rapids Township,MI,,1,0,False
161,2015-02-17,shot,toy weapon,30,M,W,Tewksbury,MA,,1,1,False
163,2015-02-18,shot,knife,20,F,B,Charlotte,NC,,2,0,False
165,2015-02-20,shot,unarmed,31,M,H,Euless,TX,,2,0,False
166,2015-02-20,shot,gun,38,M,B,Homewood,AL,,1,0,False
255,2015-02-20,shot,gun,77,M,B,Birmingham,AL,,1,0,False
584,2015-02-20,shot,gun,37,M,H,Houston,TX,,1,1,False
167,2015-02-21,shot,gun,41,M,W,Ruidoso,NM,,1,0,False
168,2015-02-21,shot,knife,51,M,W,Indianapolis,IN,,1,0,False
170,2015-02-22,shot,gun,50,M,W,Palm Bay,FL,,1,0,False
172,2015-02-23,shot,gun,47,M,W,Denham Springs,LA,,1,0,False
174,2015-02-23,shot,knife,37,M,W,Powder Springs,GA,,2,0,False
175,2015-02-23,shot,gun,41,M,W,Clarkesville,GA,,1,1,False
176,2015-02-23,shot,gun,16,M,B,Millbrook,AL,,1,0,False
266,2015-02-23,shot and Tasered,knife,42,M,W,Allentown,PA,,1,1,False
371,2015-02-23,shot and Tasered,unarmed,39,M,W,Omaha,NE,,2,0,False
177,2015-02-24,shot and Tasered,knife,30,M,W,Green Bay,WI,,1,0,False
179,2015-02-25,shot,gun,43,M,W,Las Vegas,NV,,1,0,False
181,2015-02-26,shot,gun,42,M,H,Lakeland,FL,,1,1,False
182,2015-02-26,shot,knife,21,M,H,San Francisco,CA,,2,0,False
183,2015-02-26,shot,unarmed,49,M,W,Gulfport,MS,,2,0,False
184,2015-02-26,shot,gun,34,F,W,Sylvester,GA,,1,1,False
180,2015-02-26,shot and Tasered,unarmed,31,M,W,Terre Haute,IN,,2,0,False
185,2015-02-27,shot,unarmed,27,M,H,Santa Ana,CA,,2,0,False
186,2015-02-28,shot,gun,24,M,W,Pelzer,SC,,1,0,False
188,2015-02-28,shot,unarmed,34,M,B,St Louis,MO,,2,1,False
189,2015-02-28,shot,knife,28,F,H,Tucson,AZ,,2,0,False
190,2015-02-28,shot,gun,28,M,B,Columbia,MO,,1,1,False
191,2015-02-28,shot,gun,40,M,B,Tarboro,NC,,1,1,False
192,2015-02-28,shot,gun,37,F,W,La Paz County,AZ,,1,1,False
187,2015-02-28,shot and Tasered,unarmed,17,M,W,Roxand Township,MI,,1,0,True
195,2015-03-01,shot,gun,35,M,A,Houston,TX,,1,0,False
268,2015-03-01,shot,gun,49,M,W,Barton,MS,,1,0,False
194,2015-03-01,shot and Tasered,unarmed,43,M,B,Los Angeles,CA,,1,0,True
196,2015-03-02,shot,gun,20,M,B,Joilet,IL,,2,1,False
197,2015-03-03,shot,gun,25,M,B,Salisbury,MD,,1,0,False
198,2015-03-03,shot,knife,25,M,W,Tempe,AZ,,1,0,False
199,2015-03-04,shot,unarmed,26,M,W,Deltona,FL,,2,0,False
249,2015-03-04,shot,gun,28,M,A,Stockton,CA,,1,0,False
200,2015-03-05,shot,knife,45,M,B,Milwaukee,WI,,2,0,False
201,2015-03-05,shot,unarmed,36,M,H,Burbank,CA,,2,1,False
202,2015-03-05,shot,gun,34,M,W,Lincoln,NE,,1,0,False
203,2015-03-06,shot,unarmed,19,M,B,Madison,WI,,1,1,False
269,2015-03-06,shot,unarmed,37,M,B,Aurora,CO,,2,1,False
271,2015-03-07,shot,gun,29,M,W,Phoenix,AZ,,1,0,False
204,2015-03-08,shot,knife,43,F,B,Anaheim,CA,,2,0,True
272,2015-03-08,shot,gun,40,M,H,Oklahoma City,OK,,1,0,False
205,2015-03-09,shot,unarmed,27,M,B,Atlanta,GA,,2,0,False
274,2015-03-09,shot,gun,58,M,W,Brevard,NC,,1,0,False
275,2015-03-09,shot,gun,46,M,W,Dinosaur,CO,,1,0,False
276,2015-03-09,shot,gun,30,M,B,Cocoa,FL,,1,0,False
206,2015-03-10,shot,gun,64,M,B,Cleveland,OH,,1,0,True
278,2015-03-10,shot,gun,31,M,B,Baton Rouge,LA,,1,0,False
536,2015-03-10,shot,knife,23,M,W,Port Wentworth,GA,,1,0,True
883,2015-03-10,shot,sword,37,M,H,Ontario,CA,,2,1,False
277,2015-03-11,shot,gun,31,M,W,Memphis,TN,,1,0,False
279,2015-03-11,shot,gun,39,M,H,Santa Ana,CA,,1,0,False
281,2015-03-11,shot,toy weapon,31,M,W,Kingman,AZ,,1,0,False
307,2015-03-11,shot,gun,54,M,W,Bay Minette,AL,,1,0,False
581,2015-03-11,shot,gun,53,M,W,Hoover,AL,,1,0,False
282,2015-03-12,shot,unarmed,35,M,B,Washington,DC,,2,0,False
207,2015-03-13,shot,gun,41,M,H,Napa,CA,,2,1,False
283,2015-03-13,shot,gun,59,M,W,Kansas City,MO,,1,0,False
289,2015-03-13,shot,knife,36,M,W,Fontana,CA,,1,0,False
351,2015-03-13,shot,unarmed,32,M,H,Walnut Creek,CA,,2,1,False
208,2015-03-14,shot,knife,53,M,W,Follansbee,WV,,2,0,False
209,2015-03-14,shot,gun,26,M,W,Kenosha,WI,,1,1,False
287,2015-03-14,shot,gun,29,M,H,San Antonio,TX,,1,0,False
210,2015-03-15,shot,machete,27,M,W,Ruth,MS,,2,0,False
212,2015-03-16,shot,gun,28,M,W,St. Paul,MN,,1,0,False
213,2015-03-16,shot,gun,52,M,W,Gastonia,NC,,1,0,False
216,2015-03-17,shot,gun,49,M,W,Medford,OR,,1,0,False
217,2015-03-17,shot,gun,24,M,W,Dublin,NC,,1,1,False
221,2015-03-17,shot,vehicle,24,F,W,San Francisco,CA,,2,0,False
290,2015-03-17,shot,gun,20,M,W,Onalaska,TX,,1,0,False
292,2015-03-17,shot,unarmed,22,M,H,Sacramento,CA,,2,1,False
225,2015-03-18,shot,gun,49,F,W,Glendale,AZ,,1,0,False
226,2015-03-18,shot,gun,64,M,W,Tallahassee,FL,,1,0,False
294,2015-03-18,shot,knife,47,M,W,Bakersfield,CA,,2,0,False
228,2015-03-19,shot,box cutter,39,M,W,Lawrence County,AL,,2,0,True
229,2015-03-19,shot,unarmed,18,M,B,Cleveland,OH,,1,0,False
230,2015-03-19,shot,gun,31,M,W,Middleton,ID,,1,0,True
265,2015-03-19,shot,gun,16,M,B,Jacksonville,FL,,1,1,False
295,2015-03-19,shot,unarmed,20,M,W,Sumas,WA,,1,0,False
306,2015-03-19,shot,gun,36,M,W,Bakersfield,CA,,1,0,False
308,2015-03-20,shot,machete,63,M,B,New Orleans,LA,,1,0,False
310,2015-03-20,shot,gun,34,M,W,Coal County,OK,,1,0,False
531,2015-03-20,shot,gun,24,M,N,Red Valley,AZ,,1,1,False
235,2015-03-21,shot,gun,21,M,W,Cottonwood,AZ,,1,0,False
309,2015-03-21,shot,gun,44,M,W,Clarendon,NY,,1,1,False
311,2015-03-21,shot,gun,60,M,W,Harmony,IN,,1,0,False
312,2015-03-21,shot,gun,42,M,W,Columbus,OH,,1,0,False
231,2015-03-22,shot,knife,37,M,W,Vallejo,CA,,2,0,False
233,2015-03-22,shot and Tasered,knife,36,M,W,Portland,OR,,2,1,False
234,2015-03-22,shot and Tasered,undetermined,21,M,B,Islip,NY,,1,1,False
237,2015-03-23,shot,gun,24,M,B,Santa Clara,CA,,1,0,False
238,2015-03-24,shot,gun,29,M,B,Portsmouth,VA,,1,1,False
247,2015-03-24,shot,gun,57,M,W,San Jose,CA,,1,0,False
313,2015-03-24,shot,gun,38,M,W,Fond du Lac,WI,,1,0,False
239,2015-03-25,shot,undetermined,23,M,B,Smyrna,GA,,2,1,True
240,2015-03-25,shot,gun,27,M,B,Johnsonville,SC,,1,1,False
241,2015-03-25,shot,gun,28,M,H,South Los Angeles,CA,,1,1,False
242,2015-03-25,shot and Tasered,gun,63,M,W,Glendale,AZ,,2,0,False
246,2015-03-26,shot,gun,53,F,W,Gardner,KS,,1,0,False
250,2015-03-26,shot,knife,35,M,H,Wilmington,CA,,2,0,False
245,2015-03-27,shot,knife,26,F,B,Oxnard,CA,,2,0,False
251,2015-03-27,shot,gun,42,M,W,Fort Ashby,WV,,1,1,False
254,2015-03-27,shot,gun,41,M,B,Boston,MA,,1,0,False
256,2015-03-27,shot,gun,56,M,W,Encinitas,CA,,1,0,False
257,2015-03-27,shot,knife,39,M,B,Fort Pierce,FL,,2,0,False
258,2015-03-27,shot,toy weapon,23,M,H,Bakersfield,CA,,1,1,False
316,2015-03-27,shot,gun,40,M,W,Webster,MA,,1,1,False
252,2015-03-29,shot,gun,29,M,B,Elizabethtown,KY,,1,0,False
244,2015-03-30,shot,gun,54,M,O,Boulder City,NV,,1,0,False
262,2015-03-30,shot,gun,49,M,W,Eugene,OR,,1,0,False
259,2015-03-31,shot,gun,36,M,W,Carollwood,FL,,1,0,False
261,2015-03-31,shot,toy weapon,21,M,H,Baytown,TX,,1,0,False
263,2015-03-31,shot,vehicle,27,F,B,Fort Meade,MD,,2,1,False
267,2015-04-01,shot,gun,37,M,B,Hawthorne,CA,,1,0,False
533,2015-04-01,shot,knife,36,M,W,Hamilton,NJ,,1,0,False
286,2015-04-02,shot,gun,32,M,B,Rock Island,IL,,1,1,False
291,2015-04-02,shot,unarmed,44,M,B,Tulsa,OK,,2,0,False
303,2015-04-02,shot,gun,27,M,W,Pineville,LA,,1,0,False
288,2015-04-02,shot and Tasered,gun,63,M,W,Metropolis,IL,,1,0,False
299,2015-04-03,shot,knife,38,M,W,Winchester,VA,,2,0,True
296,2015-04-04,shot,gun,17,M,B,Zion,IL,,1,1,False
300,2015-04-04,shot,gun,31,M,B,Orange,CA,,1,0,True
302,2015-04-04,shot,gun,34,M,W,Edgewood,NM,,1,1,False
297,2015-04-04,shot and Tasered,unarmed,50,M,B,North Charleston,SC,,2,1,False
301,2015-04-05,shot,knife,51,M,W,Phoenix,AZ,,2,0,False
304,2015-04-05,shot,gun,56,M,W,Tehachapi,CA,,1,0,False
298,2015-04-06,shot,gun,23,M,W,Indianapolis,IN,,1,0,False
318,2015-04-06,shot,gun,25,M,B,Harvey,LA,,1,1,False
322,2015-04-06,shot,gun,31,M,W,Jefferson County,ID,,1,1,False
319,2015-04-07,shot,gun,32,M,W,Pottawatomie County,OK,,1,1,False
329,2015-04-08,shot,gun,60,M,W,San Antonio,TX,,1,1,False
331,2015-04-08,shot,gun,39,M,H,Los Angeles,CA,,1,1,False
359,2015-04-08,shot,knife,28,M,A,Sunnyvale,CA,,2,0,False
332,2015-04-09,shot,sword,22,M,W,Navarre,FL,,1,0,False
333,2015-04-09,shot,gun,29,M,B,Monon,IN,,1,1,False
340,2015-04-09,shot,gun,31,M,W,Straban Township,PA,,1,0,False
343,2015-04-09,shot,gun,28,M,W,Boiling Springs,SC,,1,0,False
335,2015-04-10,shot,knife,21,M,H,Corning,CA,,1,0,False
377,2015-04-10,shot,gun,38,M,W,Topeka,KS,,1,1,False
